text,label
Aubagio (teriflunomide) interacts with dengue vaccine,1
Bendeka (bendamustine) interacts with prabotulinumtoxinA,0
Primidone (primidone) interacts with belumosudil,1
Crestor (rosuvastatin) interacts with degarelix,0
Neurontin (gabapentin) interacts with esketamine,1
"Fioricet (acetaminophen, butalbital, and caffeine) interacts with tapentadol",1
Reglan (metoclopramide) interacts with ascorbic acid (vitamin C),0
Terazosin (terazosin) interacts with sodium nitrite,1
Trelstar (triptorelin) interacts with rotigotine (transdermal),0
Ticagrelor (ticagrelor) interacts with nefazodone,1
Meloxicam (meloxicam (oral/injection)) interacts with letrozole,0
Inbrija (levodopa inhalation capsules) interacts with risperidone,1
Tecfidera (dimethyl fumarate) interacts with ampicillin and sulbactam,0
Yuflyma (adalimumab-aaty) interacts with quizartinib,1
Gleevec (imatinib) interacts with hydroxyzine,0
Chlorthalidone (chlorthalidone) interacts with dronedarone,1
Lenvima (lenvatinib) interacts with oseltamivir,0
Nurtec ODT (rimegepant) interacts with modafinil,1
Zolmitriptan (zolmitriptan (oral)) interacts with simvastatin,0
Uroxatral (alfuzosin) interacts with albuterol inhalation,0
"Premarin (conjugated estrogens (oral)) interacts with sofosbuvir, velpatasvir, and voxilaprevir",0
"Jynneos (smallpox and Mpox vaccine, live, non-replicating) interacts with lisocabtagene maraleucel",1
Gentamicin topical (gentamicin topical) interacts with belzutifan,0
"Widaplik (telmisartan, amlodipine, and indapamide) interacts with clobetasol topical",0
Dexilant (dexlansoprazole) interacts with posaconazole,1
Apokyn (apomorphine injection) interacts with secukinumab,0
Norepinephrine (norepinephrine) interacts with halothane,1
Orgovyx (relugolix) interacts with blinatumomab,0
Trintellix (vortioxetine) interacts with trimipramine,1
Dutasteride (dutasteride) interacts with itraconazole,1
Ketorolac ophthalmic (ketorolac ophthalmic) interacts with ginkgo,0
Plavix (clopidogrel) interacts with clotrimazole,0
Brilinta (ticagrelor) interacts with abciximab,1
Tecfidera (dimethyl fumarate) interacts with tofacitinib,1
"Biktarvy (bictegravir, emtricitabine, tenofovir) interacts with Olanzapine",0
Bisoprolol (bisoprolol) interacts with disopyramide,1
Nerlynx (neratinib) interacts with loperamide,0
Pramipexole (pramipexole) interacts with valproic acid (oral/injection),0
Umeclidinium and vilanterol (umeclidinium and vilanterol) interacts with carvedilol,1
Triamcinolone (triamcinolone (oral)) interacts with hydroxychloroquine,0
Hytrin (terazosin) interacts with hydroxyurea,0
Nubeqa (darolutamide) interacts with gabapentin,0
YF-Vax (yellow fever vaccine) interacts with basiliximab,1
Kapvay (clonidine (oral)) interacts with acebutolol,1
Senna (senna) interacts with methylphenidate hydrochloride,0
Erleada (apalutamide) interacts with doravirine,1
Actemra (tocilizumab) interacts with apixaban,0
Heparin Injection (heparin (injection)) interacts with golimumab,0
Norepinephrine (norepinephrine) interacts with methoxyflurane,1
Lexette foam (halobetasol propionate 0.05%) interacts with ketorolac ophthalmic,0
Buspirone (buspirone) interacts with toripalimab-tpzi,0
Gavreto (pralsetinib) interacts with ruxolitinib,0
Histrelin (implant) (histrelin (implant)) interacts with dicyclomine (oral/injection),0
Evenity (romosozumab) interacts with sunitinib,1
Sernivo Spray (betamethasone diproprionate 0.05%) interacts with nadofaragene firadenovec,1
Synjardy (empagliflozin and metformin) interacts with iopamidol,1
Macrobid (nitrofurantoin) interacts with phenylephrine,0
Prozac (fluoxetine) interacts with lasmiditan,1
Gentamicin ophthalmic (gentamicin ophthalmic) interacts with insulin regular,0
Hiprex (methenamine) interacts with warfarin (oral),0
Narcan (naloxone) interacts with methadone,1
Indomethacin (indomethacin (oral)) interacts with oxybutynin (oral),0
Promacta (eltrombopag) interacts with berotralstat,1
EpiPen (epinephrine injection) interacts with desflurane,1
Insulin Regular (insulin regular) interacts with aluminum hydroxide and magnesium trisilicate,0
"NAC (acetylcysteine (oral)) interacts with hyoscyamine, methenamine, methylene blue, and sodium biphosphate",0
Ultomiris (ravulizumab) interacts with nadofaragene firadenovec,1
Kyzatrex (testosterone oral) interacts with mipomersen,1
Zestril (lisinopril) interacts with teriflunomide,1
Nitrostat (nitroglycerin (sublingual)) interacts with sitagliptin,0
Tazorac (tazarotene topical) interacts with enoxaparin,0
Amlodipine (amlodipine) interacts with bisacodyl (oral and rectal),0
Amiodarone (amiodarone tablets (oral)) interacts with inotuzumab ozogamicin,1
Gattex (teduglutide) interacts with lorazepam,1
Keppra (levetiracetam (oral/injection)) interacts with daridorexant,1
Welchol (colesevelam) interacts with ustekinumab,0
Fluvoxamine (fluvoxamine) interacts with golimumab,0
Zydelig (idelalisib) interacts with tizanidine,0
Jaypirca (pirtobrutinib) interacts with tofacitinib,1
Heparin Injection (heparin (injection)) interacts with furosemide (oral/injection),0
Metformin (metformin) interacts with zolpidem,0
Boniva (ibandronate (oral/injection)) interacts with respiratory syncytial virus immune globulin,1
Skyrizi (risankizumab) interacts with zoster vaccine live,1
Empaveli (pegcetacoplan) interacts with teriflunomide,1
Enbrel (etanercept) interacts with promazine,1
Epidiolex (cannabidiol) interacts with apixaban,0
Yondelis (trabectedin) interacts with etrasimod,1
"Xeloda (capecitabine) interacts with multivitamin, prenatal",1
Prednisone (prednisone) interacts with lumateperone,1
Florastor (saccharomyces boulardii lyo) interacts with momelotinib,1
Ajovy (fremanezumab-vfrm) interacts with escitalopram,0
Topiramate interacts with brexpiprazole,1
Urocit-K (potassium citrate) interacts with Ketamine,0
Vonjo (pacritinib) interacts with upadacitinib,0
Ofev (nintedanib) interacts with upadacitinib,0
Ultravate (halobetasol topical) interacts with insulin,1
Irbesartan (irbesartan) interacts with fosinopril,1
BuSpar (buspirone) interacts with pentazocine,1
Risedronate (risedronate) interacts with etodolac,1
Florastor (saccharomyces boulardii lyo) interacts with alprazolam,0
Zosyn (piperacillin and tazobactam) interacts with ibuprofen,0
Fenofibrate (fenofibrate) interacts with pitavastatin,1
Zoladex (goserelin (implant)) interacts with bedaquiline,1
Harvoni (ledipasvir and sofosbuvir) interacts with pralsetinib,1
Kyleena (levonorgestrel intrauterine system) interacts with olaparib,0
Winlevi (clascoterone) interacts with clonazepam,0
Zolpidem (zolpidem) interacts with hydrocodone,1
Aricept (donepezil) interacts with nivolumab,0
Finasteride interacts with omalizumab,0
Ginger (ginger) interacts with metoclopramide,0
Leuprolide (leuprolide) interacts with fluticasone nasal,0
Ongentys (opicapone) interacts with propiomazine,1
Hydrochlorothiazide (hydrochlorothiazide) interacts with insulin isophane,1
Mirtazapine (mirtazapine) interacts with nirsevimab-alip,0
Pepcid (famotidine) interacts with raloxifene,0
Escitalopram (escitalopram) interacts with zolmitriptan (oral),0
Hydrochlorothiazide and telmisartan (hydrochlorothiazide and telmisartan) interacts with fosinopril,1
Vimpat (lacosamide (oral/injection)) interacts with saquinavir,1
Sabril (vigabatrin) interacts with paramethadione,1
Truxima (rituximab) interacts with ublituximab,1
Camzyos (mavacamten) interacts with labetalol,1
Glucagon (glucagon) interacts with insulin detemir,1
Abilify (aripiprazole) interacts with enzalutamide,1
Terbinafine (terbinafine) interacts with baloxavir marboxil,0
Focalin (dexmethylphenidate) interacts with nebivolol,0
Orphenadrine (orphenadrine) interacts with buprenorphine,0
Diltiazem (diltiazem (oral/injection)) interacts with oxcarbazepine,0
Progesterone (progesterone) interacts with fedratinib,1
Clopidogrel (clopidogrel) interacts with cladribine (oral),0
Testosterone Injection (testosterone injection) interacts with tacrolimus,1
Ultiva (remifentanil) interacts with perphenazine,1
Rybrevant (amivantamab-vmjw) interacts with warfarin (oral),0
Niacin (niacin (nicotinic acid)) interacts with mipomersen,1
Naloxone (naloxone) interacts with hydrocodone,1
Nubeqa (darolutamide) interacts with ibandronate (oral/injection),0
Remicade (infliximab) interacts with griseofulvin,0
Epclusa (sofosbuvir/velpatasvir) interacts with repotrectinib,1
Reglan (metoclopramide) interacts with cariprazine,1
Glucophage (metformin) interacts with iopamidol,1
Ibrance (palbociclib) interacts with encorafenib,1
Enhertu (fam-trastuzumab deruxtecan) interacts with balsalazide,0
Tramadol (tramadol) interacts with norepinephrine,0
Emgality (galcanezumab) interacts with zanubrutinib,0
Humalog (insulin lispro) interacts with nan,0
Lasix (furosemide) interacts with levomethadyl acetate,1
Twirla Patch (ethinyl estradiol and levonorgestrel (transdermal)) interacts with mycophenolate mofetil,1
Nabumetone (nabumetone) interacts with anisindione,1
Ultiva (remifentanil) interacts with lurasidone,0
Alendronate (alendronate) interacts with netilmicin,1
Venofer Injection (iron sucrose (injection)) interacts with oxidronate,1
Prevnar 20 (Pneumococcal 20-valent conjugate vaccine) interacts with toripalimab,1
Piperacillin and tazobactam (piperacillin and tazobactam) interacts with insulin glargine,0
Vimpat (lacosamide (oral/injection)) interacts with lovastatin,0
Tranexamic acid (tranexamic acid (Cyklokapron)) interacts with famotidine,0
Sildenafil (sildenafil (oral)) interacts with telaprevir,1
Rizatriptan (rizatriptan) interacts with propranolol,0
Gemfibrozil (gemfibrozil) interacts with acetohexamide,1
Naprosyn (naproxen) interacts with thyroid desiccated,0
Adderall (amphetamine and dextroamphetamine) interacts with iohexol,1
Isosorbide Mononitrate (isosorbide mononitrate) interacts with prilocaine,1
Bactrim (sulfamethoxazole and trimethoprim) interacts with enalaprilat,1
Carvykti (ciltacabtagene autoleucel) interacts with trabectedin,0
Phenazopyridine (phenazopyridine) interacts with sunitinib,0
Calquence (acalabrutinib) interacts with bcg vaccine,1
Wezlana (ustekinumab-auub) interacts with entecavir,0
Adderall XR (amphetamine and dextroamphetamine) interacts with milnacipran,1
Magnesium citrate (magnesium citrate) interacts with sotatercept,0
Histrelin (implant) (histrelin (implant)) interacts with fingolimod,1
Hydromorphone (hydromorphone (oral)) interacts with daridorexant,1
Spesolimab (spesolimab-sbzo) interacts with fingolimod,1
Fentanyl (fentanyl) interacts with venlafaxine,1
Mirabegron (mirabegron) interacts with amivantamab-vmjw,0
Ustekinumab (Ustekinumab) interacts with golimumab,1
Yesintek (ustekinumab-kfce) interacts with sodium polystyrene sulfonate,0
Quinine (quinine) interacts with procaine penicillin,1
Bicalutamide (bicalutamide) interacts with dolasetron,1
"Oriahnn (elagolix, estradiol, and norethindrone) interacts with acetaminophen and hydrocodone",0
Lyumjev (insulin lispro) interacts with pazopanib,0
Abilify Asimtufii (aripiprazole) interacts with morphine liposomal,1
Descovy (emtricitabine and tenofovir alafenamide) interacts with cidofovir,1
Soma (carisoprodol) interacts with triptorelin,0
Fosfomycin (fosfomycin) interacts with granisetron (oral),0
Indocin (indomethacin (oral)) interacts with letrozole,0
Evenity (romosozumab) interacts with galcanezumab,0
Ibuprofen (ibuprofen) interacts with atenolol,0
Dutasteride (dutasteride) interacts with valbenazine,0
Tetracycline (tetracycline) interacts with isosorbide,1
Incruse Ellipta (umeclidinium) interacts with lanadelumab-flyo,0
Annovera Vaginal Ring (ethinyl estradiol and segesterone (vaginal ring)) interacts with atropine and diphenoxylate,0
Vanos (fluocinonide topical) interacts with tramadol,0
Flomax (tamsulosin) interacts with mixed grass pollens allergen extract,1
Insulin Detemir (insulin detemir) interacts with hydromorphone (oral),0
Wakix (pitolisant) interacts with acalabrutinib,0
Nerlynx (neratinib) interacts with indinavir,1
Haldol (haloperidol (oral)) interacts with modafinil,0
Imfinzi (durvalumab) interacts with ciltacabtagene autoleucel,0
Flovent (fluticasone inhalation) interacts with atazanavir,1
Xalkori (crizotinib) interacts with cyclobenzaprine,0
Gabapentin (gabapentin) interacts with divalproex sodium,0
Viagra (sildenafil (oral)) interacts with omega-3 polyunsaturated fatty acids,0
Lisinopril (lisinopril) interacts with potassium bicarbonate,1
Voydeya (danicopan) interacts with hydrochlorothiazide and losartan,0
Lurasidone (lurasidone) interacts with phenylephrine nasal,0
Ketalar (ketamine) interacts with loratadine,0
Dexamethasone (dexamethasone (oral)) interacts with bupropion and dextromethorphan,0
Hydroxyurea (hydroxyurea) interacts with indapamide,0
Buprenex Injection (buprenorphine injection) interacts with hydroxyzine,1
Reyvow (lasmiditan) interacts with granisetron,1
Effexor (venlafaxine) interacts with idelalisib,0
Oxycodone interacts with zaleplon,0
Rebif (interferon beta-1a) interacts with lomitapide,1
Nebivolol (nebivolol) interacts with selpercatinib,0
Nifedipine (nifedipine) interacts with carbamazepine,1
Verzenio (abemaciclib) interacts with enzalutamide,1
Roflumilast Topical interacts with cyclosporine,1
Mobic (meloxicam) interacts with oxaprozin,1
Clotrimazole (clotrimazole) interacts with mipomersen,1
Lipitor (atorvastatin) interacts with lurasidone,0
Dipentum (olsalazine) interacts with berotralstat,0
Myrbetriq (mirabegron) interacts with methylprednisolone (oral),0
Insulin lispro (insulin lispro) interacts with epinephrine,1
Dilaudid (hydromorphone (oral)) interacts with codeine,1
Velcade (bortezomib) interacts with lomitapide,1
Celexa (citalopram) interacts with darolutamide,0
Ferrous gluconate (ferrous gluconate) interacts with levofloxacin,1
Ziprasidone (ziprasidone (oral/injection)) interacts with pimozide,1
Heparin Injection (heparin (injection)) interacts with loratadine,0
"Ultomiris (ravulizumab) interacts with hyoscyamine, methenamine, methylene blue, phenyl salicylate, sodium biphosphate",0
"Breztri (budesonide, glycopyrrolate, and formoterol fumarate) interacts with prednisone",0
Clodan (clobetasol topical) interacts with dapagliflozin,1
Digoxin (digoxin (oral/injection)) interacts with itraconazole,1
Vitamin E (vitamin E) interacts with pralatrexate,1
Hyzaar (hydrochlorothiazide and losartan) interacts with ampicillin (oral),0
Extavia (interferon beta-1b) interacts with tramadol,1
OxyContin (oxycodone) interacts with nafcillin,1
Qbrelis (lisinopril) interacts with paracetamol,0
Glipizide (glipizide) interacts with enoxacin,1
8-Mop (methoxsalen (oral)) interacts with furosemide,1
Lisinopril (lisinopril) interacts with finerenone,1
Briumvi (ublituximab-xiiy) interacts with panobinostat,1
Caplyta (lumateperone) interacts with orphenadrine,0
12 Hour Nasal Decongestant (oxymetazoline nasal) interacts with zavegepant,1
Rabeprazole (rabeprazole) interacts with glipizide,0
Olux (clobetasol topical) interacts with tirzepatide,1
Alprazolam (alprazolam) interacts with levomethadyl acetate,1
Valium (diazepam (oral)) interacts with nan,0
Talvey (talquetamab) interacts with lomitapide,1
Pravastatin (pravastatin) interacts with telmisartan,0
Fosamax (alendronate) interacts with quinapril,1
Hyoscyamine (hyoscyamine) interacts with levodopa inhalation,0
Dexamethasone (dexamethasone (oral)) interacts with amoxicillin and clavulanate potassium,0
Quetiapine (quetiapine) interacts with haloperidol,1
Basaglar (insulin glargine) interacts with grepafloxacin,1
Cialis (tadalafil) interacts with ketoconazole,1
Alecensa (alectinib) interacts with timolol,1
Jatenzo (testosterone oral) interacts with fexinidazole,1
Telotristat ethyl interacts with bortezomib,0
Requip (ropinirole (oral)) interacts with daratumumab,0
"Myfembree (relugolix, estradiol and norethindrone acetate) interacts with daridorexant",1
Ozempic (semaglutide injection) interacts with halothane,1
Actemra (tocilizumab) interacts with Ketamine,0
"Quinidine (quinidine (oral/injection)) interacts with bictegravir, emtricitabine, tenofovir",0
Nitazoxanide (nitazoxanide) interacts with dabigatran,0
Bismuth subsalicylate (bismuth subsalicylate) interacts with insulin glargine,0
Euthyrox (levothyroxine) interacts with sodium bicarbonate (sew dee uhm buy car bo nayt),0
Unisom Sleep Gels (diphenhydramine) interacts with guanethidine,1
Selumetinib (selumetinib) interacts with nafcillin,1
Diclofenac (diclofenac) interacts with sipuleucel-T,0
Diprolene (betamethasone topical) interacts with lixisenatide,1
Reglan (metoclopramide) interacts with mavorixafor,1
Iopamidol (iopamidol) interacts with trifluoperazine,1
Dicyclomine (dicyclomine (oral/injection)) interacts with potassium chloride,1
Varenicline (varenicline) interacts with glucagon,0
Ngenla (somatrogon-ghla) interacts with fluticasone and salmeterol,0
Xyntha (antihemophilic factor (recombinant)) interacts with ipilimumab,0
Tecfidera (dimethyl fumarate) interacts with nan,0
Zantac (ranitidine) interacts with febuxostat,0
Duopa (carbidopa and levodopa enteral) interacts with buprenorphine (oral/buccal),0
Apokyn (apomorphine injection) interacts with omega-3 polyunsaturated fatty acids,0
Phenazopyridine (phenazopyridine) interacts with amantadine,0
Dorzolamide ophthalmic (dorzolamide ophthalmic) interacts with carbidopa and levodopa,0
Xenazine (tetrabenazine) interacts with nan,0
Umeclidinium (umeclidinium) interacts with benztropine,1
Alecensa (alectinib) interacts with demecarium bromide ophthalmic,1
Jalyn (dutasteride and tamsulosin) interacts with conivaptan,1
"Toprol-XL (metoprolol succinate tablet, extended release) interacts with ceritinib",1
Rowasa (mesalamine) interacts with tadalafil,0
Liraglutide (liraglutide) interacts with turmeric,1
Zileuton (zileuton) interacts with lonapegsomatropin,1
Fentanyl (fentanyl) interacts with citalopram,1
Ramelteon (ramelteon) interacts with Ketamine,0
Hytrin (terazosin) interacts with verapamil (oral/injection),0
Imuran (azathioprine) interacts with apixaban,0
Ultravate (halobetasol topical) interacts with mepolizumab,0
Atarax (hydroxyzine) interacts with hydromorphone,1
Alprazolam (alprazolam) interacts with mirtazapine,0
Pregabalin (pregabalin) interacts with simvastatin,0
Ultomiris (ravulizumab) interacts with cladribine,1
Humalog (insulin lispro) interacts with fenofibric acid,1
Letrozole (letrozole) interacts with valacyclovir,0
Dextroamphetamine (dextroamphetamine) interacts with tranylcypromine,1
Eliquis (apixaban) interacts with bendamustine,0
Insulin Regular (insulin regular) interacts with methocarbamol (oral/injection),0
Nitrofurantoin (nitrofurantoin) interacts with isosorbide dinitrate,0
Zestril (lisinopril) interacts with iron dextran,1
Ativan (lorazepam) interacts with morphine,1
Methylprednisolone (methylprednisolone (oral)) interacts with itraconazole,1
Herceptin (trastuzumab) interacts with nan,0
Wyost (denosumab-bbdz) interacts with cladribine,1
Atarax (hydroxyzine) interacts with nilotinib,1
Hydroxychloroquine (hydroxychloroquine) interacts with sofosbuvir,0
Vancomycin (vancomycin (oral)) interacts with apalutamide,0
Trastuzumab deruxtecan (fam-trastuzumab deruxtecan) interacts with deucravacitinib,1
Rizatriptan (rizatriptan) interacts with trimipramine,1
Pepcid (famotidine) interacts with tretinoin,0
Eplerenone (eplerenone) interacts with perindopril,0
QNASL (beclomethasone nasal) interacts with chlorambucil,0
Voltaren (diclofenac) interacts with Elagolix,0
Modafinil (modafinil) interacts with digoxin (oral/injection),0
Zoryve (roflumilast topical) interacts with digoxin (oral/injection),0
Tradjenta (linagliptin) interacts with pentamidine,1
Bryhali (halobetasol propionate 0.01%) interacts with sirolimus,0
"Fosfomycin (fosfomycin) interacts with cholera vaccine, live",1
Berotralstat interacts with ketoprofen,0
Cequa Eye Drops (cyclosporine ophthalmic) interacts with loteprednol ophthalmic,1
Amoxicillin (amoxicillin) interacts with calcium carbonate,0
Quillivant XR (methylphenidate (oral)) interacts with lindane topical,1
"Piperacillin and tazobactam (piperacillin and tazobactam) interacts with typhoid vaccine, live",1
Morphine interacts with iomeprol,1
Sildenafil (sildenafil (oral)) interacts with mirikizumab-mrkz,0
Imbruvica (ibrutinib) interacts with dasatinib,1
Calcitriol (calcitriol (oral/injection)) interacts with primidone,1
Kapvay (clonidine (oral)) interacts with propranolol,1
Oxybutynin (oxybutynin (oral)) interacts with cyclizine,1
Bevacizumab (Bevacizumab) interacts with bisoprolol,0
Basaglar (insulin glargine) interacts with istradefylline,0
Aspirin (aspirin (oral)) interacts with rivaroxaban,1
Genotropin (somatropin) interacts with cetirizine,0
Paracetamol (paracetamol) interacts with sacituzumab govitecan-hziy,0
Dabigatran (dabigatran) interacts with zolmitriptan (oral),0
Entresto (sacubitril and valsartan) interacts with finerenone,1
"Cipro (ciprofloxacin (oral)) interacts with Budesonide, glycopyrrolate, and formoterol",0
Klonopin (clonazepam) interacts with pentazocine,1
Diflucan (fluconazole) interacts with clozapine,0
Concerta (methylphenidate (oral)) interacts with sipuleucel-T,0
Decadron (dexamethasone (oral)) interacts with selpercatinib,1
"Biktarvy (bictegravir, emtricitabine, tenofovir) interacts with meloxicam",1
Ustekinumab (Ustekinumab) interacts with talimogene laherparepvec,1
Rifaximin (rifaximin) interacts with zoledronic acid,0
Jakafi (ruxolitinib) interacts with acyclovir (oral),0
Yaz (drospirenone and ethinyl estradiol) interacts with tovorafenib,1
Oxtellar XR (oxcarbazepine) interacts with hydrocodone,1
Eliquis (apixaban) interacts with modafinil,0
Tibsovo (ivosidenib) interacts with sevoflurane,1
Xanax XR (alprazolam) interacts with telithromycin,1
Xenical (orlistat) interacts with ketorolac (oral/injection),0
Zestril (lisinopril) interacts with apomorphine,1
"Alprolix (Coagulation Factor IX (Recombinant), Fc Fusion Protein) interacts with adalimumab-aqvh",0
5-hydroxytryptophan (5-hydroxytryptophan) interacts with rosuvastatin,0
Zantac (ranitidine) interacts with dasatinib,1
Triamterene (triamterene) interacts with potassium chloride,1
Entyvio (vedolizumab) interacts with memantine,0
Methocarbamol (methocarbamol (oral/injection)) interacts with nalbuphine,1
Slynd (drospirenone) interacts with nefazodone,1
Fexofenadine (fexofenadine) interacts with azathioprine,0
Perindopril (perindopril) interacts with interferon beta-1a,0
Clodan (clobetasol topical) interacts with dulaglutide,1
Lyrica (pregabalin) interacts with nalbuphine,1
Naloxone (naloxone) interacts with alfentanil,1
Guanfacine (guanfacine) interacts with mavorixafor,0
Xgeva (denosumab) interacts with cladribine,1
Vamorolone interacts with leuprolide,0
Cinryze (complement C1 esterase inhibitor) interacts with lusutrombopag,1
Isoniazid (isoniazid) interacts with ibuprofen,0
Jeuveau (prabotulinumtoxinA) interacts with tobramycin,1
Pseudoephedrine (pseudoephedrine) interacts with antihemophilic factor (recombinant),0
Strattera (atomoxetine) interacts with complement C1 esterase inhibitor,0
Trokendi XR (topiramate) interacts with fluphenazine,1
Advil (ibuprofen) interacts with warfarin (oral),0
Remicade (infliximab) interacts with pexidartinib,1
Neupro Skin Patches (rotigotine (transdermal)) interacts with iloperidone,1
Clobetasol (clobetasol topical) interacts with berotralstat,0
Finasteride interacts with adagrasib,1
Lorazepam (lorazepam (oral)) interacts with morphine liposomal,1
Jentadueto (linagliptin and metformin) interacts with iopromide,1
Liletta (levonorgestrel intrauterine system) interacts with ritlecitinib,1
Rytary (carbidopa and levodopa) interacts with hydrochlorothiazide and triamterene,0
Trelstar (triptorelin) interacts with pasireotide,1
Xyosted Injection (testosterone injection) interacts with hydrochlorothiazide and olmesartan,0
Leukeran (chlorambucil) interacts with nintedanib,0
Halobetasol Topical (halobetasol topical) interacts with gentamicin,0
Vancomycin (vancomycin (oral)) interacts with lanadelumab-flyo,0
Infliximab (infliximab) interacts with levetiracetam (oral/injection),0
Nabumetone (nabumetone) interacts with celecoxib,0
"Topiramate interacts with calcium oxybate, magnesium oxybate, potassium oxybate, and sodium oxybate",0
Saxenda (liraglutide) interacts with drospirenone,0
Nortriptyline (nortriptyline) interacts with leniolisib,0
Rydapt (midostaurin) interacts with halofantrine,1
Trazodone (trazodone) interacts with ondansetron,1
Albuterol Inhalation (albuterol inhalation) interacts with paroxetine,0
Benztropine (benztropine (oral/injection)) interacts with topiramate,1
Vistaril (hydroxyzine) interacts with mepolizumab,0
Slynd (drospirenone) interacts with vitamin E,0
Vicodin (acetaminophen and hydrocodone) interacts with ramelteon,1
Verapamil (verapamil (oral/injection)) interacts with dofetilide,1
Entresto (sacubitril and valsartan) interacts with pantoprazole (oral/injection),0
Fulvestrant (fulvestrant) interacts with roflumilast topical,0
Enoxaparin (enoxaparin) interacts with avacopan,0
Escitalopram (escitalopram) interacts with hydroxychloroquine,0
Namenda (memantine) interacts with trihexyphenidyl,1
Gemcitabine (gemcitabine) interacts with solriamfetol,0
Imdelltra (tarlatamab) interacts with enoxaparin,0
Vitamin D3 (cholecalciferol (vitamin D3)) interacts with empagliflozin and metformin,0
Kisqali (ribociclib) interacts with hydralazine,0
Glucagon (glucagon) interacts with glipizide,1
"Genvoya (cobicistat, elvitegravir, emtricitabine, and tenofovir) interacts with gepirone",1
Crestor (rosuvastatin) interacts with saquinavir,1
Restoril (temazepam) interacts with gemfibrozil,0
Faslodex (fulvestrant) interacts with lurasidone,0
Anastrozole (anastrozole) interacts with cenobamate,0
Yaz (drospirenone and ethinyl estradiol) interacts with alirocumab,0
Winlevi (clascoterone) interacts with empagliflozin,0
"Ventolin HFA (albuterol inhalation) interacts with cobicistat, elvitegravir, emtricitabine, and tenofovir",0
Symbicort (budesonide and formoterol) interacts with ipilimumab,0
Celexa (citalopram) interacts with ponesimod,1
Hydrochlorothiazide and losartan (hydrochlorothiazide and losartan) interacts with clobetasol topical,0
Faslodex (fulvestrant) interacts with levetiracetam (oral/injection),0
Plavix (clopidogrel) interacts with fenoprofen,1
Pepcid (famotidine) interacts with Pneumococcal 20-valent conjugate vaccine,0
Somatuline Depot (lanreotide) interacts with oxymetazoline nasal,0
NP Thyroid (thyroid desiccated) interacts with interferon beta-1b,0
Sildenafil (sildenafil (oral)) interacts with fosamprenavir,1
Vitamin D3 (cholecalciferol (vitamin D3)) interacts with nebivolol,0
Nitazoxanide (nitazoxanide) interacts with ondansetron (oral),0
Primidone (primidone) interacts with pantoprazole (oral/injection),0
Balsalazide (balsalazide) interacts with iopamidol,1
Oxcarbazepine (oxcarbazepine) interacts with latanoprost ophthalmic,0
Lexapro (escitalopram) interacts with goserelin,1
Breo Ellipta (fluticasone and vilanterol) interacts with polyethylene glycol 3350,0
Phenobarbital (phenobarbital) interacts with pyridoxine (vitamin B6),0
Amlodipine (amlodipine) interacts with rifampin,1
Rifaximin (rifaximin) interacts with atomoxetine,0
Tecvayli (teclistamab-cqyv) interacts with bcg,1
